what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1394245516524
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1394245516524
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1394245516525
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1394245516526
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1394245516575
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1394245516575
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1394245516576
os,sysinfo,,,"win32",1394245516579
arch,sysinfo,,,"x86",1394245516579
ws,sysinfo,,,"win32",1394245516579
locale,sysinfo,,,"en_US",1394245516579
processors,sysinfo,,,"4",1394245516580
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1394245516580
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1394245516580
java.specification.name,sysinfo,,,"Java Platform API Specification",1394245516580
java.specification.vendor,sysinfo,,,"Oracle Corporation",1394245516580
java.specification.version,sysinfo,,,"1.7",1394245516580
java.vendor,sysinfo,,,"Oracle Corporation",1394245516580
java.version,sysinfo,,,"1.7.0_25",1394245516580
java.vm.info,sysinfo,,,"mixed mode",1394245516580
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1394245516580
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1394245516580
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1394245516580
java.vm.specification.version,sysinfo,,,"1.7",1394245516580
java.vm.vendor,sysinfo,,,"Oracle Corporation",1394245516580
java.vm.version,sysinfo,,,"23.25-b01",1394245516580
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1394245516776
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1394245516781
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1394245528346
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1394245534929
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1394245535337
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1394245535513
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1394245536904
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394245539803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394245547862
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394245559670
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394245585694
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1394245586104
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1394245586687
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1394245587257
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1394245587275
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1394245587295
